序号	单词	词频
437	heading	53
438	certain	52
439	indeed	52
440	ever	52
441	term	52
442	children	52
443	previous	52
444	july	52
445	population	52
446	majority	52
447	man	52
448	isn	51
449	great	51
450	case	51
451	corporations	51
452	several	51
453	march	51
454	search	51
455	almost	51
456	place	51
457	de	51
458	ideas	50
459	conspiracy	50
460	therefore	50
461	centuries	50
462	ability	50
463	personal	50
464	empires	50
465	speech	50
466	youtube	50
467	species	49
468	open	49
469	others	49
470	those	49
471	independent	49
472	job	49
473	private	49
474	april	49
475	represent	49
476	number	49
477	reuters	49
478	pdf	49
479	technologies	48
480	today	48
481	later	48
482	result	48
483	sometimes	48
484	learn	48
485	five	48
486	couldn	48
487	various	48
488	goals	48
489	w	48
490	paper	47
491	throughout	47
492	makes	47
493	together	47
494	within	47
495	develop	47
496	identify	47
497	groups	47
498	death	47
499	three	47
500	leader	47
501	little	47
502	rules	47
503	online	47
504	bureaucratic	47
505	sapiens	46
506	eventually	46
507	error	46
508	germany	46
509	leaders	46
510	mythology	46
511	written	46
512	though	46
513	central	46
514	paul	46
515	official	46
516	ibid	46
517	theguardian	46
518	thousand	45
519	cooperation	45
520	nations	45
521	development	45
522	infallible	45
523	fake	45
524	pope	45
525	e	45
526	rome	45
527	witchcraft	45
528	uk	44
529	given	44
530	big	44
531	help	44
532	contrast	44
533	particular	44
534	governments	44
535	process	44
536	physical	44
537	trump	44
538	officials	44
539	images	43
540	emperor	43
541	artificial	43
542	usually	43
543	according	43
544	least	43
545	either	43
546	david	43
547	matter	43
548	keep	43
549	entities	43
550	bureaucrats	43
551	really	43
552	ways	43
553	radio	43
554	whereas	43
555	british	43
556	union	43
557	jesus	43
558	amnesty	43
559	structure	42
560	yet	42
561	everything	42
562	told	42
563	began	42
564	provide	42
565	nazi	42
566	came	42
567	led	42
568	real	42
569	small	42
570	found	42
571	nevertheless	42
572	tax	42
573	business	42
574	center	42
575	l	42
576	putin	42
577	version	41
578	head	41
579	earth	41
580	using	41
581	dangerous	41
582	individual	41
583	violence	41
584	correct	41
585	give	41
586	objective	41
587	spread	41
588	articles	41
589	lost	41
590	idea	41
591	set	41
592	ten	41
593	full	41
594	face	41
595	learning	41
596	users	41
597	end	41
598	amp	41
599	nobody	40
600	secret	40
601	actually	40
602	newspapers	40
603	build	40
604	universal	40
605	hundred	40
606	living	40
607	someone	40
608	legal	40
609	me	40
610	bias	40
611	b	40
612	privacy	40
613	gpt	40
614	prologue	39
615	crisis	39
616	lead	39
617	late	39
618	facts	39
619	race	39
620	thought	39
621	wars	39
622	danger	39
623	words	39
624	question	39
625	interests	39
626	once	39
627	russian	39
628	facial	39
629	ol	38
630	creating	38
631	again	38
632	campaign	38
633	mean	38
634	scientists	38
635	theories	38
636	enough	38
637	consider	38
638	third	38
639	produce	38
640	animals	38
641	european	38
642	studies	38
643	she	38
644	court	38
645	billion	38
646	took	38
647	christians	38
648	document	38
649	dramas	38
650	freedom	38
651	alignment	38
652	house	37
653	level	37
654	individuals	37
655	try	37
656	known	37
657	mind	37
658	decide	37
659	next	37
660	populism	37
661	anyone	37
662	past	37
663	strong	37
664	following	37
665	evidence	37
666	able	37
667	bots	37
668	infallibility	36
669	water	36
670	nor	36
671	turn	36
672	necessary	36
673	post	36
674	impact	36
675	hundreds	36
676	testament	36
677	consciousness	36
678	qin	36
679	michael	36
680	accessed	36
681	oct	36
682	wrong	35
683	mistakes	35
684	increasingly	35
685	exist	35
686	education	35
687	twentieth	35
688	decision	35
689	anything	35
690	india	35
691	developed	35
692	major	35
693	foreign	35
694	form	35
695	say	35
696	policy	35
697	debate	35
698	printing	34
699	print	34
700	homo	34
701	less	34
702	tell	34
703	supreme	34
704	services	34
705	disinformation	34
706	biology	34
707	four	34
708	come	34
709	everyone	34
710	justice	34
711	christianity	34
712	discussion	34
713	allegedly	34
714	france	34
715	mistake	34
716	high	34
717	robert	34
718	constitution	34
719	model	34
720	limited	34
721	ukraine	34
722	total	34
723	game	34
724	imperial	34
725	engagement	34
726	feb	34
727	published	33
728	lot	33
729	beings	33
730	numbers	33
731	experts	33
732	here	33
733	conflict	33
734	point	33
735	complex	33
736	kind	33
737	attempt	33
738	hunts	33
739	maintain	33
740	alien	33
741	jobs	33
742	consequently	33
743	republic	33
744	suffering	33
745	ii	32
746	dna	32
747	powers	32
748	until	32
749	himself	32
750	gods	32
751	algorithmic	32
752	put	32
753	gain	32
754	hand	32
755	knowledge	32
756	june	32
757	similarly	32
758	access	32
759	leading	32
760	writing	32
761	qanon	32
762	academic	32
763	claim	32
764	parties	32
765	religions	32
766	account	32
767	east	32
768	meant	32
769	feelings	32
770	act	32
771	voters	32
772	brain	32
773	medieval	32
774	security	32
775	minister	32
776	inside	32
777	general	32
778	economy	32
779	hold	31
780	questions	31
781	extremely	31
782	companies	31
783	figure	31
784	problems	31
785	discover	31
786	explained	31
787	thing	31
788	share	31
789	challenge	31
790	interpretation	31
791	says	31
792	key	31
793	whole	31
794	chap	31
795	community	31
796	king	31
797	changing	31
798	report	31
799	patterns	31
800	hijab	31
801	score	31
802	last	30
803	killing	30
804	clear	30
805	billions	30
806	blood	30
807	hate	30
808	longer	30
809	including	30
810	probably	30
811	risk	30
812	group	30
813	culture	30
814	code	30
815	argued	30
816	else	30
817	language	30
818	populists	30
819	regulations	30
820	brazil	30
821	changes	30
822	seen	30
823	coming	30
824	flesh	30
825	define	30
826	ultimate	30
827	inter	30
828	feel	30
829	easily	30
830	iraq	30
831	nuclear	30
832	budget	30
833	archive	30
834	white	30
835	sure	30
836	routledge	30
837	napoleon	29
838	lived	29
839	impossible	29
840	live	29
841	stalinism	29
842	universe	29
843	divine	29
844	worse	29
845	prevent	29
846	protect	29
847	thereby	29
848	went	29
849	finally	29
850	americans	29
851	movements	29
852	politicians	29
853	claimed	29
854	basic	29
855	middle	29
856	churches	29
857	influence	29
858	exactly	29
859	soldiers	29
860	men	29
861	produced	29
862	force	29
863	myths	29
864	arrested	29
865	civil	29
866	rabbis	29
867	current	29
868	red	29
869	user	29
870	encoding	28
871	utf	28
872	doctype	28
873	idpf	28
874	ops	28
875	prefix	28
876	daisy	28
877	vocab	28
878	list	28
879	alt	28
880	congress	28
881	analysis	28
882	got	28
883	reach	28
884	having	28
885	divided	28
886	let	28
887	alone	28
888	decades	28
889	populist	28
890	anti	28
891	common	28
892	ask	28
893	invented	28
894	organic	28
895	chatbot	28
896	turned	28
897	knew	28
898	north	28
899	killed	28
900	attention	28
901	relatively	28
902	reading	28
903	reason	28
904	peter	28
905	days	28
906	company	28
907	giants	28
908	nytimes	28
909	sept	28
910	love	27
911	easier	27
912	failed	27
913	medical	27
914	additional	27
915	fear	27
916	co	27
917	gave	27
918	aren	27
919	traditional	27
920	simply	27
921	specific	27
922	doing	27
923	explain	27
924	events	27
925	called	27
926	ago	27
927	covid	27
928	belief	27
929	best	27
930	happens	27
931	wants	27
932	tried	27
933	technological	27
934	g	27
935	library	26
936	name	26
937	stop	26
938	bad	26
939	vote	26
940	hitler	26
941	fields	26
942	completely	26
943	racism	26
944	german	26
945	wrote	26
946	beyond	26
947	connect	26
948	terms	26
949	working	26
950	material	26
951	unlike	26
952	helped	26
953	activities	26
954	western	26
955	chief	26
956	unprecedented	26
957	support	26
958	considered	26
959	taxes	26
960	wanted	26
961	james	26
962	moscow	26
963	f	26
964	tiktok	26
965	cat	26
966	nov	26
967	h	26
968	dec	26
969	record	25
970	pigeon	25
971	wisdom	25
972	weapons	25
973	despite	25
974	similar	25
975	tend	25
976	main	25
977	lies	25
978	cause	25
979	cases	25
980	biases	25
981	months	25
982	destruction	25
983	noted	25
984	conflicts	25
985	talk	25
986	word	25
987	effort	25
988	institutional	25
989	shaped	25
990	accounts	25
991	look	25
992	saw	25
993	memory	25
994	washington	25
995	relations	25
996	hunting	25
997	dead	25
998	mechanism	25
999	field	25
1000	potentially	25
1001	woman	25
1002	thomas	25
1003	french	25
1004	romania	25
1005	authorities	25
1006	judaism	25
1007	murder	25
1008	industry	25
1009	senate	25
1010	kulaks	25
1011	chatgpt	25
1012	blog	25
1013	labelledby	25
1014	page	24
1015	pg	24
1016	off	24
1017	building	24
1018	held	24
1019	value	24
1020	lack	24
1021	telling	24
1022	am	24
1023	comes	24
1024	child	24
1025	run	24
1026	hands	24
1027	kill	24
1028	taken	24
1029	wasn	24
1030	nineteenth	24
1031	saying	24
1032	nation	24
1033	pass	24
1034	short	24
1035	benefits	24
1036	deep	24
1037	easy	24
1038	fundamental	24
1039	principle	24
1040	behind	24
1041	attack	24
1042	issues	24
1043	project	24
1044	beliefs	24
1045	misinformation	24
1046	happened	24
1047	pandemic	24
1048	era	24
1049	establish	24
1050	criminal	24
1051	israel	24
1052	guardian	24
1053	experiment	24
1054	follow	24
1055	top	24
1056	land	24
1057	bank	24
1058	bbc	24
1059	monitor	24
1060	threat	24
1061	reasons	24
1062	ce	24
1063	blockchain	24
1064	sphere	24
1065	kramer	24
1066	publications	24
1067	sciences	24
1068	america	24
1069	happen	24
1070	conservative	24
1071	terror	24
1072	hours	24
1073	videos	24
1074	amazon	24
1075	twitter	24
1076	harvard	24
1077	tiberius	24
1078	sites	24
1079	xxiv	23
1080	xxv	23
1081	xxvi	23
1082	nexus	23
1083	behavior	23
1084	available	23
1085	caused	23
1086	traditions	23
1087	supposed	23
1088	tens	23
1089	victory	23
1090	internet	23
1091	bodies	23
1092	minds	23
1093	tools	23
1094	played	23
1095	genetic	23
1096	whose	23
1097	line	23
1098	communist	23
1099	position	23
1100	cooperate	23
1101	chapters	23
1102	peer	23
1103	ais	23
1104	final	23
1105	needed	23
1106	learned	23
1107	nili	23
1108	existence	23
1109	resources	23
1110	emperors	23
1111	experience	23
1112	affairs	23
1113	village	23
1114	higher	23
1115	election	23
1116	pay	23
1117	engineers	23
1118	assembly	23
1119	nero	23
1120	office	23
1121	securitate	23
1122	chess	23
1123	bot	23
1124	iosifescu	23
1125	xxi	22
1126	enormous	22
1127	ourselves	22
1128	consequences	22
1129	message	22
1130	faith	22
1131	invention	22
1132	built	22
1133	hard	22
1134	mother	22
1135	away	22
1136	left	22
1137	records	22
1138	relied	22
1139	needs	22
1140	choice	22
1141	talking	22
1142	processes	22
1143	defense	22
1144	movement	22
1145	ottoman	22
1146	palestine	22
1147	places	22
1148	heart	22
1149	origins	22
1150	chains	22
1151	saint	22
1152	sea	22
1153	won	22
1154	federal	22
1155	loan	22
1156	father	22
1157	decided	22
1158	black	22
1159	manipulate	22
1160	census	22
1161	database	22
1162	rational	22
1163	transactions	22
1164	shechtman	22
1165	customers	22
1166	edu	22
1167	forbes	22
1168	princeton	22
1169	aug	22
1170	inorganic	21
1171	x	21
1172	stone	21
1173	tocemb	21
1174	style	21
1175	occasionally	21
1176	believed	21
1177	capable	21
1178	service	21
1179	bigger	21
1180	exchange	21
1181	smartphone	21
1182	merely	21
1183	existing	21
1184	forms	21
1185	moment	21
1186	changed	21
1187	wave	21
1188	judges	21
1189	extreme	21
1190	goes	21
1191	shall	21
1192	essential	21
1193	conversations	21
1194	ami	21
1195	messages	21
1196	provided	21
1197	takes	21
1198	aspects	21
1199	necessarily	21
1200	imagine	21
1201	sense	21
1202	emotions	21
1203	emotional	21
1204	martin	21
1205	managed	21
1206	taking	21
1207	toward	21
1208	agree	21
1209	discovered	21
1210	established	21
1211	importance	21
1212	ramayana	21
1213	haven	21
1214	agency	21
1215	january	21
1216	citizenship	21
1217	stable	21
1218	scrolls	21
1219	talmud	21
1220	pattern	21
1221	reputation	21
1222	capitol	21
1223	kulak	21
1224	conscious	21
1225	spending	21
1226	wired	21
1227	eds	21
1228	smith	21
1229	noah	20
1230	harari	20
1231	presses	20
1232	goethe	20
1233	climate	20
1234	responsibility	20
1235	generations	20
1236	call	20
1237	lose	20
1238	doctors	20
1239	racist	20
1240	developing	20
1241	biggest	20
1242	increase	20
1243	musk	20
1244	civilization	20
1245	survey	20
1246	dictator	20
1247	courts	20
1248	communities	20
1249	types	20
1250	channels	20
1251	entirely	20
1252	shape	20
1253	basis	20
1254	cher	20
1255	home	20
1256	due	20
1257	further	20
1258	false	20
1259	novel	20
1260	natural	20
1261	fifty	20
1262	popular	20
1263	giving	20
1264	families	20
1265	egypt	20
1266	suppose	20
1267	identity	20
1268	italy	20
1269	priests	20
1270	strategy	20
1271	highly	20
1272	debates	20
1273	skills	20
1274	seek	20
1275	limits	20
1276	lists	20
1277	particularly	20
1278	rely	20
1279	bce	20
1280	write	20
1281	scholars	20
1282	property	20
1283	reports	20
1284	results	20
1285	interpret	20
1286	prime	20
1287	asia	20
1288	mishnah	20
1289	clausewitz	20
1290	expenditure	20
1291	william	20
1292	y	20
1293	vs	20
1294	start	19
1295	xx	19
1296	deal	19
1297	becoming	19
1298	examples	19
1299	obviously	19
1300	accordingly	19
1301	choose	19
1302	germans	19
1303	interested	19
1304	stalinist	19
1305	chance	19
1306	physics	19
1307	effective	19
1308	ultimately	19
1309	thus	19
1310	greater	19
1311	accurately	19
1312	becomes	19
1313	getting	19
1314	eight	19
1315	died	19
1316	whom	19
1317	reached	19
1318	producing	19
1319	web	19
1320	art	19
1321	policies	19
1322	done	19
1323	claims	19
1324	sets	19
1325	dictatorship	19
1326	perspective	19
1327	brains	19
1328	threats	19
1329	definition	19
1330	lines	19
1331	biblical	19
1332	september	19
1333	situation	19
1334	invasion	19
1335	propaganda	19
1336	asked	19
1337	neither	19
1338	bands	19
1339	capacity	19
1340	daily	19
1341	methods	19
1342	contain	19
1343	status	19
1344	sex	19
1345	going	19
1346	inspired	19
1347	armies	19
1348	buy	19
1349	devices	19
1350	organisms	19
1351	judge	19
1352	experiments	19
1353	italian	19
1354	enemies	19
1355	move	19
1356	assets	19
1357	platform	19
1358	poland	19
1359	car	19
1360	interview	19
1361	loomis	19
1362	sejanus	19
1363	xii	18
1364	certainly	18
1365	recent	18
1366	myth	18
1367	unique	18
1368	humankind	18
1369	george	18
1370	achieve	18
1371	medicine	18
1372	argue	18
1373	average	18
1374	unfathomable	18
1375	remained	18
1376	fiction	18
1377	relevant	18
1378	nothing	18
1379	universities	18
1380	thinking	18
1381	trying	18
1382	along	18
1383	ethnic	18
1384	function	18
1385	dictators	18
1386	autocracies	18
1387	favor	18
1388	exact	18
1389	executed	18
1390	friends	18
1391	statistics	18
1392	separate	18
1393	evaluate	18
1394	huge	18
1395	watch	18
1396	relationships	18
1397	product	18
1398	prior	18
1399	placed	18
1400	shared	18
1401	remember	18
1402	period	18
1403	everybody	18
1404	constantly	18
1405	hardly	18
1406	especially	18
1407	plato	18
1408	bialik	18
1409	side	18
1410	lacked	18
1411	reaching	18
1412	corruption	18
1413	peasants	18
1414	jerusalem	18
1415	town	18
1416	continued	18
1417	athens	18
1418	matters	18
1419	canon	18
1420	allowed	18
1421	timothy	18
1422	previously	18
1423	low	18
1424	outrage	18
1425	council	18
1426	structures	18
1427	conference	18
1428	posts	18
1429	automated	18
1430	program	18
1431	cameras	18
1432	kant	18
1433	microsoft	18
1434	brown	18
1435	regulation	18
1436	lee	18
1437	jstor	18
1438	washingtonpost	18
1439	unlimited	17
1440	xxvii	17
1441	edition	17
1442	looking	17
1443	nazism	17
1444	fire	17
1445	flood	17
1446	psychology	17
1447	fantasies	17
1448	gained	17
1449	determine	17
1450	ideology	17
1451	weapon	17
1452	berlin	17
1453	flows	17
1454	answer	17
1455	rate	17
1456	contains	17
1457	destroy	17
1458	unlikely	17
1459	source	17
1460	tool	17
1461	pace	17
1462	conditions	17
1463	accurate	17
1464	alternative	17
1465	repeatedly	17
1466	die	17
1467	kinds	17
1468	above	17
1469	finance	17
1470	energy	17
1471	details	17
1472	board	17
1473	addition	17
1474	astrology	17
1475	check	17
1476	watching	17
1477	room	17
1478	video	17
1479	genesis	17
1480	unfortunately	17
1481	simultaneously	17
1482	coca	17
1483	difference	17
1484	outside	17
1485	island	17
1486	intelligent	17
1487	britain	17
1488	ignore	17
1489	orders	17
1490	complicated	17
1491	entity	17
1492	generated	17
1493	earlier	17
1494	hebrew	17
1495	tv	17
1496	royal	17
1497	breaking	17
1498	actions	17
1499	vice	17
1500	copies	17
1501	street	17
1502	persons	17
1503	henry	17
1504	romanian	17
1505	officers	17
1506	train	17
1507	rest	17
1508	centers	17
1509	size	17
1510	yale	17
1511	action	17
1512	elected	17
1513	competition	17
1514	baby	17
1515	han	17
1516	centralization	17
1517	management	17
1518	q	17
1519	neuralink	17
1520	trans	17
1521	proceedings	17
1522	brief	16
1523	penguin	16
1524	fv	16
1525	sc	16
1526	hidden	16
1527	collapse	16
1528	seem	16
1529	offer	16
1530	engine	16
1531	abuse	16
1532	causes	16
1533	assume	16
1534	disease	16
1535	ranging	16
1536	across	16
1537	disaster	16
1538	mortality	16
1539	altogether	16
1540	worldwide	16
1541	viruses	16
1542	allow	16
1543	environmental	16
1544	skeptical	16
1545	suleyman	16
1546	close	16
1547	manage	16
1548	music	16
1549	bolsonaro	16
1550	elites	16
1551	recognize	16
1552	struggle	16
1553	taxation	16
1554	ambitious	16
1555	ll	16
1556	avoid	16
1557	ideological	16
1558	hub	16
1559	collectivization	16
1560	gender	16
1561	focus	16
1562	commander	16
1563	sent	16
1564	subject	16
1565	indicates	16
1566	battle	16
1567	involved	16
1568	committed	16
1569	parents	16
1570	heard	16
1571	doctrine	16
1572	acknowledge	16
1573	connection	16
1574	happening	16
1575	followers	16
1576	eastern	16
1577	turning	16
1578	limit	16
1579	chain	16
1580	play	16
1581	tradition	16
1582	born	16
1583	food	16
1584	defeat	16
1585	quickly	16
1586	hunt	16
1587	ruled	16
1588	anarchy	16
1589	bureaucracies	16
1590	cholera	16
1591	dynamics	16
1592	forced	16
1593	school	16
1594	letters	16
1595	opinions	16
1596	front	16
1597	o	16
1598	vast	16
1599	philosophical	16
1600	andrew	16
1601	hunter	16
1602	crimes	16
1603	beginning	16
1604	vatican	16
1605	homosexuality	16
1606	fair	16
1607	newspaper	16
1608	adams	16
1609	phone	16
1610	nkvd	16
1611	warfare	16
1612	safety	16
1613	buddhist	16
1614	platforms	16
1615	eu	16
1616	colonialism	16
1617	valley	16
1618	philosophy	16
1619	altruism	16
1620	neural	16
1621	arxiv	16
1622	encyclopedia	16
1623	conn	16
1624	xviii	15
1625	lessons	15
1626	deeper	15
1627	von	15
1628	half	15
1629	bring	15
1630	argument	15
1631	closer	15
1632	depends	15
1633	brought	15
1634	flow	15
1635	amount	15
1636	production	15
1637	dangers	15
1638	moral	15
1639	rival	15
1640	nonhuman	15
1641	agent	15
1642	radical	15
1643	donald	15
1644	context	15
1645	focused	15
1646	practice	15
1647	ordinary	15
1648	explore	15
1649	maintaining	15
1650	distributed	15
1651	cn	15
1652	defining	15
1653	fate	15
1654	tended	15
1655	aaronsohn	15
1656	routinely	15
1657	virtual	15
1658	success	15
1659	south	15
1660	millennia	15
1661	trade	15
1662	larger	15
1663	none	15
1664	re	15
1665	cola	15
1666	dollars	15
1667	proof	15
1668	possibility	15
1669	gospel	15
1670	adopt	15
1671	loch	15
1672	ness	15
1673	test	15
1674	survive	15
1675	hunters	15
1676	recommendation	15
1677	perfect	15
1678	superhuman	15
1679	herzl	15
1680	ukrainian	15
1681	schools	15
1682	composed	15
1683	appeared	15
1684	watched	15
1685	annual	15
1686	villages	15
1687	rigid	15
1688	department	15
1689	animal	15
1690	providing	15
1691	handbook	15
1692	maximize	15
1693	include	15
1694	fallibility	15
1695	daniel	15
1696	precise	15
1697	acts	15
1698	included	15
1699	matthew	15
1700	bishop	15
1701	accused	15
1702	blame	15
1703	francis	15
1704	dictatorships	15
1705	technical	15
1706	strongmen	15
1707	opinion	15
1708	cities	15
1709	dutch	15
1710	authoritarian	15
1711	eyes	15
1712	factors	15
1713	wisconsin	15
1714	textile	15
1715	endnotes	15
1716	brill	15
1717	sipri	15
1718	yuval	14
1719	split	14
1720	xvii	14
1721	kingdom	14
1722	dropcap	14
1723	dc	14
1724	indent	14
1725	greek	14
1726	origin	14
1727	save	14
1728	apprentice	14
1729	immediately	14
1730	maintained	14
1731	expose	14
1732	reveal	14
1733	pursuit	14
1734	mark	14
1735	wealth	14
1736	eighteenth	14
1737	arguing	14
1738	thirty	14
1739	models	14
1740	interest	14
1741	prison	14
1742	careful	14
1743	fight	14
1744	greatly	14
1745	suffer	14
1746	approach	14
1747	sound	14
1748	finding	14
1749	aligned	14
1750	helps	14
1751	space	14
1752	defined	14
1753	predict	14
1754	meaning	14
1755	block	14
1756	forty	14
1757	sarah	14
1758	win	14
1759	representation	14
1760	nine	14
1761	perspectives	14
1762	difficulty	14
1763	internal	14
1764	influential	14
1765	rapid	14
1766	personally	14
1767	team	14
1768	eye	14
1769	creation	14
1770	suffered	14
1771	consensus	14
1772	step	14
1773	advantage	14
1774	identities	14
1775	efficient	14
1776	harder	14
1777	communication	14
1778	taught	14
1779	region	14
1780	adam	14
1781	filled	14
1782	enjoy	14
1783	required	14
1784	clay	14
1785	overall	14
1786	neighbors	14
1787	chip	14
1788	ones	14
1789	discipline	14
1790	unfathomability	14
1791	attacks	14
1792	sabbath	14
1793	teachings	14
1794	thecla	14
1795	invest	14
1796	introduction	14
1797	adult	14
1798	des	14
1799	governmental	14
1800	holocaust	14
1801	shot	14
1802	vladimir	14
1803	presidential	14
1804	voices	14
1805	korea	14
1806	insights	14
1807	emergency	14
1808	pacific	14
1809	chicago	14
1810	sparta	14
1811	soviets	14
1812	files	14
1813	labor	14
1814	employees	14
1815	playing	14
1816	burma	14
1817	regulate	14
1818	fisher	14
1819	tay	14
1820	mit	14
1821	applications	14
1822	vol	14
1823	abstract	14
1824	figes	14
1825	whisperers	14
1826	cover	13
1827	xiv	13
1828	xvi	13
1829	path	13
1830	fill	13
1831	distant	13
1832	amounts	13
1833	boy	13
1834	knowing	13
1835	cold	13
1836	failure	13
1837	economics	13
1838	rivals	13
1839	journalists	13
1840	cultures	13
1841	six	13
1842	survival	13
1843	parts	13
1844	soon	13
1845	elon	13
1846	cells	13
1847	privileges	13
1848	truthful	13
1849	pure	13
1850	charismatic	13
1851	centralized	13
